WELL RESULTS

PROTOCOL NAME,OD600 8h

MEASUREMENT START DATE,10/3/2022  10:44:45 AM,,UTC,2022-10-03T13:44:45+0000
MEASUREMENT END DATE,10/3/2022  6:46:54 PM,,UTC,2022-10-03T21:46:54+0000

Plate,0
Barcode,0

3 OPERATION,ABS (F) - Kinetics
TEMPERATURE(Celsius),30.0

,Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,Plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Barcode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Well,Time(s),0.0,1772.1,3543.0,5314.0,7084.9,8855.8,10626.7,12397.6,14168.5,15939.4,17710.3,19481.3,21252.3,23023.2,24794.3,26565.7,28337.4
PROTOCOL RUN TYPE,START
PLATES WITH LIDS,n.a.
MEASURE WITH LIDS,n.a.
BARCODE READING,n.a.

PLATE TYPE,General 96
PLATE FORMAT,96 wells (8X12)
PLATE PARAMETERS
A1 row-coordinate(µm),11240
A1 column-coordinate(µm),14380
Well spacing (µm),9000
Well diameter(µm),6500
Well volume(µl),200

1 OPERATION,Plate Kinetics-Plate start
KINETIC CYCLES,17
CYCLE TIME,0 hours 30 minutes 0.0 seconds
SHAKE WHILE WAITING,No
MEASUREMENT ORDER,Bi-directional by rows

2 OPERATION,Shaker-Shake in Kinetics
SHAKE TYPE,Orbital
SHAKE POSITION,Inside
SHAKE SPEED (rpm),300
SHAKE TIME,0 hours 0 minutes 45 seconds
SHAKING CYCLES,Every cycle

3 OPERATION,ABS (F)-Plate Kinetics
MEASUREMENT UNIT,OD
MEASUREMENT TYPE,Single label
EXCITATION FILTER,600/10nm
MEASUREMENT TIME (ms),500
PATHLENGTH (mm),8

4 OPERATION,Plate Kinetics-Plate end

PROTOCOL COMMENT,

PLATE MAP

,1,2,3,4,5,6,7,8,9,10,11,12,
A,X,X,X,X,X,X,X,X,X,X,X,X,
B,X,X,X,X,X,X,X,X,X,X,X,X,
C,X,X,X,X,X,X,X,X,X,X,X,X,
D,X,X,X,X,X,X,X,X,X,X,X,X,
E,X,X,X,X,X,X,X,X,X,X,X,X,
F,X,X,X,X,X,X,X,X,X,X,X,X,
G,X,X,X,X,X,X,X,X,X,X,X,X,
H,X,X,X,X,X,X,X,X,X,X,X,X,
